title,abstract,authors,keywords,year,citations
a trust framework for online research data services,there is worldwide interest in the potential of open science to increase the quality impact and benefits of science and research more recently attention has been focused on aspects such as transparency quality and provenance particularly in regard to data for industry citizens and other researchers to participate in the open science agenda further work needs to be undertaken to establish trust in research environments based on a critical review of the literature this paper examines the issue of trust in an open science environment using virtual laboratories as the focus for discussion a trust framework which has been developed from an end user perspective is proposed as a model for addressing relevant issues within online research data services and tools,Malcolm Wolski; Louise Howard; Joanna Richardson,transparency (behavior); open_science; perspective (graphical); work (physics); computer science; quality (philosophy); open data; open research; knowledge management; data quality; focus (optics); data science; world wide web; business; engineering; computer security; marketing; service (business); mechanical engineering; astronomy; epistemology; physics; artificial intelligence; optics; philosophy,2017.0,12
the impact of open access on academic book publishing opportunities and challenges for authors and publishers,open access oa has transformed academic book publishing offering authors and publishers new opportunities and challenges oa makes academic books more accessible visible and citable by removing paywalls democratizing knowledge dissemination and promoting global collaboration with mandates from governments and funding agencies worldwide publicly funded research is increasingly expected to be freely accessible authors can reach diverse audiences outside academia through oa enhancing societal impact oa publishing models face issues like quality perception copyright management and financial sustainability publishers must adapt traditional revenue streams to oa s open frameworks while maintaining editorial and production standards oa s author pays model may marginalize scholars from resource constrained regions by denying them access without institutional or financial support lack of standardization across oa licenses and funding mechanisms hinders adoption and scalability in contrast crowdfunding institutional subsidies and transformative agreements are addressing these issues and paving the way for inclusive and sustainable oa publishing this chapter examines how technological advances policy frameworks nbsp and market forces affect oa in academic book publishing it recommends best practices and strategies for authors and publishers navigating the oa landscape by analyzing recent trends and case studies the paper concludes that oa s potential and challenges must be addressed collaboratively and adaptively to ensure equitable and impactful academic publishing in the digital age keywords open access isbn book publishing book publishers publish thesis publish monographs low cost publishing affordable publishers google scholar citation rane n l choudhary s amp rane j 2024 the impact of open access on academic book publishing opportunities and challenges for authors and publishers in how to publish academic books a guide to publishing monographs edited volumes textbooks and theses pp 52 99 deep science publishing https doi org 10 70593 978 81 982935 8 9 2 2 1 introduction open access oa has transformed knowledge dissemination and consumption in academic publishing epstein 2002 einsohn amp schwartz 2019 thompson 2005 open access originally designed to boost research article visibility has slowly transformed academic book publishing affecting authors publishers and readers wang et al 2019 darnton 1999 germano 2016 patil et al 2024a this shift is from subscription based publishing to open access to scholarly content this development allows democratized knowledge access but raises sustainability intellectual property and publishing economics issues understanding how open access affects academic book publishing is crucial in the digital age when information is expected to be instantaneous and universal academic books previously behind paywalls are now more visible and accessible thanks to open access thompson 2013 hviid et al 2019 patil et al 2024b authors reach audiences outside academic institutions with improved dissemination this expanded reach is especially important in developing countries where institutions and individuals struggle to afford academic books open access supports the global education and research equity agenda open access models like open research library and plan s allow researchers students and policymakers to access vital academic resources without financial or institutional barriers open access presents publishers with opportunities and challenges salvador amp benghozi 2021 meti amp malipatil 2024 freemium and institutional funding are enabled by it publishers can explore sponsorships crowdfunding and author or institution fees for open access works but these models challenge traditional revenue structures raising sustainability concerns smaller publishers and those without institutional support may find open access production and dissemination costs prohibitive the industry struggles with these dynamics raising questions about open access academic book publishing s future open access also affects academic publishing and copyright are access scholarly or authors and publishers must these to open of knowledge while intellectual this on the or global intellectual and open access open access quality and are 2013 2013 et al 2024a open access models are but authors and institutions them with practices or academic standards are by publishers open access quality and ensure open access academic publishers and like and the of open and and institution academic standards open impact on academic book publishing et al et al et al 2024b and open access books to and and and in publishing the of authors and publishers to diverse audiences by and impact these technological for publishers and authors without institutional and funding academic book publishing s open access and funding agencies open access publishing for research authors to open access and publishers to and the global in funding and support for open access publishing the with regions and it open access publishing models for academic books the of academic publishing has thanks to open access oa et al et al the open access with but now academic books scholarly more and accessible to for research access equity in knowledge and digital open access publishing models for academic books amp 2013 et al 2019 open access in scholarly publishing is to the digital publishing books and the and digital book and more for more and accessible knowledge to open access book publishing knowledge and publicly funded research be freely to the is the of the oa book publishers book and especially for academic monographs are for and amp amp the open access academic books for removing financial to research and academic books oa model are funded by or research that research accessible are open access academic book publishing models with and financial and open access models are the oa book oa is the and this model makes the book et al rane et al book or or research publishing costs for authors or the book is to open access by book and and editorial fees from to of oa and but authors without funding or institutional support may struggle and publishers oa academic books open and are authors can books open access on these access and academic standards or open access authors book to institutional or et al amp this model traditional publishing the but the author the to or in this allows the to freely the open access for books is more in publishing the may be the but readers and can it and research institutions open access institutional that allow authors to the oa model to the financial but has issues authors may or of the and may be the freely oa may be visible and oa access to open open access is model that and open or and production costs in authors and readers can access the oa to the institution or the model is financial for authors and oa is in book publishing and but especially in are for open and allow scholars to the open access model for academic books authors and the academic and open access books are more visible with can research more accessible to open access are more those behind paywalls scholarly and knowledge dissemination of the of open access publishing is knowledge open access financial to academic in and access this academic equity and global open access research dissemination in may or to reach global with traditional publishers open access publishing allows global authors can and new and open access publishing models research by books freely oa books are in digital for this important research for and open for academic open access publishing for academic books has but also has that must be addressed for and open access publishing financial on authors and institutions is with the open access publishing can be fees can be to afford for authors especially those from open access publishing models may without and the quality of open access books on and publishers to ensure book but open access publishers may to academic may be and research oa books must to academic standards and open access authors is and copyright can be authors must copyright and licenses that allow while academic book open access has to and funding support for open access open access model and the of and to publishing academic and publishers may also to more sustainable open access book funding open access publishing more research open access and publicly funded research to be freely opportunities for authors in open access book publishing open access oa book publishing has transformed academic publishing authors more to reach academic and publishing models institutional or paywalls but open access authors for with open access book publishing authors visibility academic and financial sustainability trends in oa publishing and global reach open access book publishing authors visibility is scholarly freely to readers worldwide oa authors reach traditional publishing that books are to with authors can and with works oa books are especially for and scholars may be by traditional publishers open access authors can academic on access to books to academic institutions or this global reach allows for more and from academic and and more diverse and oa books them more open access authors are more to be in digital book and authors can and on google and institutional academic and the open access model affects academic visibility especially open access books more to the oa model to access researchers and to and on the authors from in academic and academic and research funding on the open access model and of by researchers the scholarly open access also allows and the to the and outside and funding agencies now open access and research funding agencies or open access to publicly funded research open access authors may find to funding or with researchers or that open access the model in and open access books author and especially across and authors can with researchers and without or costs with open access research and collaboration from and open access makes for to find and authors can open new research and with global crucial for authors in or open access also industry and to this of can open new for research and impact in and authors can and policy and by open especially researchers may struggle to open access oa publishing has and new funding models are is oa book publishing model in authors or institutions for publishing and this model has for for authors from institutions or developing countries but publishers especially are offering financial or are the financial sustainability model in oa book publishing publishers revenue from and with the publishers or institutional to open access authors to without financial authors can also costs from readers or the this model the on and readers support and financial sustainability open access and publishers of these authors more funding new financial models authors without financial and traditional publishing oa book publishing authors opportunities in open access book publishing to oa book publishing is more support academic institutions and and research institutions authors oa publishing to oa like open book publishers and publishing in are also to books freely and author oa publishing to production costs and is publishers are models that oa with traditional models to oa more publishing authors open access and oa book are more authors book can or of open oa publishing is more and allows authors to on research without and improved are oa books more and accessible with and models are more and to readers in academic and of the but crucial of oa book publishing is author and academic publishers and editorial to market and financial but oa publishing authors more the publishing authors can books to research without or editorial that may scholarly authors more and on oa the open access model allows scholars to freely in monographs and this is especially for authors of or research that may but has academic it also allows authors to research without to a of oa models is that authors them to or in or in traditional publishing copyright to the publishers for authors to with authors can with students and policymakers by research on oa on digital and can authors how is and authors of books on sustainability or can reach and policymakers may from and allow readers to and with the author on or and author and authors can how books are and in traditional publishing and institutional authors or them research or with this and academic and open access publishing scholarly access and publishing models may books to financial or oa access to for and and oa books books and accessible this is crucial for authors in where may more or for that issues like or oa publishers are of digital like of or of digital in to or this accessible and and can through open access publishing authors can with researchers and scholars from diverse by publishing and with readers can to new or research oa publishing and open access and can authors with academic publishers research and this may to to on the oa books also boost author in academic publishing and funding agencies increasingly open access publishing of funding to the of open access to funding the support and oa publishing oa publishing may of funding or authors can from open access books content oa publishers allow authors to of through or traditional this model authors reach academic and audiences while books for authors can also by or on the oa authors from research while maintaining open authors oa books academic and impact to or oa books can also publishing authors oa to with traditional the open access model can and that to traditional book and article research the open access model publishing oa publishers to ensure quality and the and scholarly of research are improved by and open is on oa to the is with the academic and through and of oa boost author and in oa books also open research and for open and are to academic research authors in oa to and of open access on academic book publishing and authors can with industry and audiences through oa publishing oa books are accessible to more and that can research to academia and industry can to policy and authors in and can new and allow authors to funding or for research in that subscription based publishing the impact of open access on academic book publishing for authors in open access book publishing the opportunities and challenges for authors and publishers academic and research now open access oa publishing it allows and authors to for worldwide dissemination and open access book publishing presents challenges for is to these intellectual property and issues and funding financial is in open access book publishing open access publishing the author or institution for publishing the this financial model is the model in but to books book and can be for open access book this can to of of on the and costs can be for authors especially those in developing or without institutional research are and may the of publishing open access authors must to open access or institutional or traditional publishing models that are trends in oa publishing funding agencies and institutions open access through funding by and and funding can to authors open access book publishing must publishing models allow authors to but open access authors to intellectual for dissemination oa publishing agreements authors to copyright or to publicly accessible licenses allow authors to while freely but can be it can be to the with and with institutional and funding authors may also to to allow or and oa can boost and but can also to and are publishers are offering digital and to but authors must and of open publishers the of open access book publishers hinders academic book publishers with for quality and authors that be and oa publishers especially to the of raising questions about editorial and publishers the open access model by fees for without or quality this has in oa where authors are for without the academic from publishers publishers from oa and authors may struggle to find oa with quality editorial and must also ensure that the can reach global and that the is in authors must these to the of oa book publishers on academic and books to and and open access publishing s academic and especially in book publishing are in in books by academic are more in open access or books by oa authors may to open access is or in in the and academic book publishing is crucial to challenge access book publishing is institutions and funding academic open access book is authors may that and challenge is and open access books open access books can be or to or technological are to and oa books for readers and oa publishers the and resources to and books the and are but sustainability is in the of digital authors must and to lack of and can also for authors and to find oa books academic impact and authors must open and oa is for democratizing but can also authors from or institutions may struggle to oa in the in the model to access may oa may also shift publishing from academic publishers to this shift raises questions about oa authors and or financial to oa open access to scholarly also raises about research authors may about how and how oa publishers and may of opportunities and challenges for authors and publishers for publishers in the open access open access oa publishing has transformed academic publishing researchers students and the access to scholarly works open access presents challenges for traditional academic publishers challenges from financial sustainability intellectual and in knowledge dissemination the model shift in open access is challenge for publishers publishing models on and fees for scholarly subscription based models revenue for publishers funding editorial and open access publishing costs from readers to authors or through article publishers and new oa are about financial sustainability publishers must from to open access without more oa publishers may this is especially for publishers with subscription based that may to oa oa models that must that is for authors and sustainable for the publishing can be for researchers especially those in developing or with oa can and funding this has about access institutions can afford while institutions and struggle to publishers especially must revenue and to financial without academic and publishers about and but open access has these issues the author licenses copyright to the for oa publishing this with the for authors to and freely works is in oa publishing authors in the and are increasingly to copyright and open licenses like allow agreements publishers to intellectual with the for open open licenses access but can for publishers to from scholarly especially when to and works oa publishing also challenges publishing models that and publishers may struggle to and digital in oa where is this raises questions about how publishers adapt models to while authors and open and in open access of academic publishing challenges oa especially for to research dissemination oa publishers especially those that must this raises questions about oa publishing has quality subscription based publishing the open access is also for oa this has the for must while the of to oa especially in like and or quality scholarly publishing is also about the oa authors for these without editorial or publishers to quality and face from oa publishers must oa from to and oa publishing has publishers to the of and and this and publishers must also open and for oa and oa and find to the of publishers must ensure and management and best oa publishing is and and digital research publishers must and the and financial challenges of maintaining digital can publishers especially and and the open access is also in publishers knowledge through editorial and in the open access are publishing like editorial and are and more and institutions open with institutional and to with the publishers must now with the that open access can be without publishers must adapt to and funding and new like and to and open access publishing makes research freely to with addressing global knowledge the shift to oa raises equity and concerns oa is to access to scholarly but costs and the for to and oa can affect publishers must ensure that oa publishing is equitable and the and in to equity publishers oa models that allow authors to in institutional or on this model may may or oa must be addressed by publishers to ensure that researchers of institutional or funding opportunities to to and open access publishing especially those that article publishers must editorial and production with is by especially in like and oa publishers must and editorial from financial costs without quality is publishers must editorial and to boost quality can academic must in and the challenge is to publishing without author and researchers and open access to and especially those in subscription based authors about the quality of open access especially or oa are to scholars subscription based and institutions may be to open access especially are in traditional may models are more and to and or the financial may them to traditional this from can open access adoption and more on publishers to the of oa to authors and the academic open open access publishing and copyright issues are especially when publishers and authors must open access in and this and is challenge for publishers publishers must for authors and to ensure this is especially for global publishers must copyright and intellectual it can also and to and and for can be when authors or open licenses for and without authors or publishers must open on open access publishing the open access model by without editorial or research without and are in or of publishers open access face from publishers open access publishers must to this is especially for are oa publishers must and and from publishing or can academic and financial and on and publishers must models in open publishers must revenue streams to publishers may scholarly and research to academic smaller publishers may struggle more with the oa and to find new revenue streams to like and editorial can authors may visibility and support from publishers with offering open access or on research may also revenue to the publishing is publishers must and the for scholarly traditional models are and to adapt them market to oa with more and research authors and research institutions with open access publishing to authors are oa and funding are or oa publishing this on publishers to the of oa and for authors to and these authors and and publishing diverse researchers those from publishers must and these can authors to or and research research institutions are increasingly open access or institutional institutions to support but on publishers to with and institutions to and accessible publishers in the open access market may and market to institutional 2 1 impact of open access on academic book publishing and and of open access is technological and the open access where of scholarly is freely publishers must with digital like or to content and digital support must be publishers must open financial and with to and digital and across and more publishers must costs in sustainability and to issues 2 1 the impact of open access on academic book publishing open access and scholarly book the open access oa has transformed academic publishing scholarly books access to scholarly books to those with institutional access or the to open access models the on academic books freely to global this shift affects knowledge and scholarly impact and visibility can be by is for academic and open access has questions about on and scholarly open access makes scholarly books freely to with in the the open the on open and institutional and like for research the open access books in the the on the open in publishers especially academic oa publishing open access is by the to subscription based publishing and research and open access financial for authors and impact publicly funded to open access can boost research for institutions and funding oa models in about potential in books is way to academic it how article or that more more and to the with are more a impact is by the impact and with academic is the best way to academic in and with book in where books especially scholarly or can impact by and the for research open access may affect but is and open access are more to studies open access may affect scholarly book but is research that books more open access books more to the this that oa with and are more to be open access books to from open and the open book open access books are on google and and more books to global authors and from may institutional access to are more to and with open access content open access models and visibility impact publishing may books to or digital behind paywalls them for to access without google and institutional open access books them more visible and and open access books allow to access institutional support or afford books open access books can be books can or to researchers open access scholars the impact of open access on is but sustainability is of open access publishing the boost may be and books may face like traditional works impact may be in are to open access publishing may be open access publishers production from or open access books may to be funding models or publishers may to models to the that open access books impact on and scholarly google and to and oa books accessible to worldwide may the open access in funding may more in open access books and ensure open access publishing models impact and visibility but are issues the oa model knowledge by research to but and access are concerns open access publishing can be for authors especially scholars and those from in the publishers authors to books open this can access to and institutions to open access may these the for open access is of equitable and sustainable scholarly publishing that knowledge dissemination barriers and trends in open access book publishing the landscape of academic publishing has in recent by technological that the way research and scholarly are the in academic publishing is the of open access oa publishing has the traditional model of scholarly publishing the open access for and access to scholarly has in the and impact on book publishing is increasingly open access publishing has in the scholarly publishing through open access the shift oa in the book publishing has but is now open access books are without fees or paywalls researchers students and to access scholarly books are on oa or the of open open book publishers and open books the behind the for open access in book publishing is the of removing and subscription based access oa publishing equity in academic scholars from institutions or to access the research and to the global of oa book publishing with the global open promoting and knowledge technological are the of open access book publishing of the is the development of digital for and oa books in the the dissemination of academic books to or subscription based digital of digital has that access to open access books and to books to readers and like publishing in for publishers to and oa books also the digital and ensure that books are in global and them and accessible to important technological in open access book publishing is the of and with the of and scholars and readers are to traditional books oa books are increasingly in and to to the diverse of the of and is enhancing the and new opportunities for with scholarly content the of and is also open access book publishing are to of the publishing from and to and publishers and ensure across of scholarly content is for can open access books to readers on and and of the for open access book publishing is and to the of oa publishers has the potential to the way authors publishers and readers with academic by offering new to issues intellectual copyright management and of the challenges in oa publishing has the of oa models on subscription based challenge by and for authors be on the of or books with in through the on publishers and can be to for oa books removing the of the and of academic that are with or this also to the of open access is in the oa the of open access books is where is the of oa books are by and are increasingly in are now to of scholarly and the of books to for readers to find research that with is also to the and is crucial for and that books are accessible through academic and can and the of open access books in digital and academic google and open access book publishing to trends are expected to future the open access research and funding agencies are increasingly oa publishing models for oa books institutional subsidies or are to more this support the costs with the production and of oa books more authors to with research open access books be more with of research and the the open the of scholarly are more this allow to in more and the impact of open open access publishing models are models are expected to in the academic publishing in oa publishers subscription based and open access for books authors to how to models can the to open access publishing offering authors more while that publishers can revenue from in the of open access book publishing,Nitin Liladhar Rane; Saurabh Choudhary; Jayesh Rane,publishing; library science; sociology; political science; computer science; law,2024.0,3
sustainable and fair data sharing in the humanities recommendations of the allea working group e humanities,the allea report sustainable and fair data sharing in the humanities provides key recommendations to make digital data in the humanities findable accessible interoperable and reusable in line with the fair principles the document is designed as a practical guide to help scholars research funders professionals and policymakers navigate the shift towards a sustainable data sharing culture,"Natalie Harrower; Name=Maryl, Maciej; Authority=ORCID; Identifier=Https://Orcid.Org/0000-0002-2639-041X; Name=Biro, Timea; Authority=ORCID; Identifier=Https://Orcid.Org/0000-0002-8900-8978; Name=Immenhauser, Beat; Authority=ORCID; Identifier=Https://Orcid.Org/0000-0002-3465-1798; ALLEA Working Group E-Humanities",digital humanities; humanities; sociology; political science; computer science; art,2020.0,12
ai fairness in data management and analytics a review on challenges methodologies and applications,this article provides a comprehensive overview of the fairness issues in artificial intelligence ai systems delving into its background definition and development process the article explores the fairness problem in ai through practical applications and current advances and focuses on bias analysis and fairness training as key research directions the paper explains in detail the concept implementation characteristics and use cases of each method the paper explores strategies to reduce bias and improve fairness in ai systems reviews challenges and solutions to real world ai fairness applications and proposes future research directions in addition this study provides an in depth comparative analysis of the various approaches utilizing cutting edge research information to elucidate their different characteristics strengths and weaknesses the results of the comparison provide guidance for future research the paper concludes with an overview of existing challenges in practical applications and suggests priorities and solutions for future research the conclusions provide insights for promoting fairness in ai systems the information reviewed in this paper is drawn from reputable sources including leading academic journals prominent conference proceedings and well established online repositories dedicated to ai fairness however it is important to recognize that research nuances sample sizes and contextual factors may create limitations that affect the generalizability of the findings,Pu Chen; Linna Wu; Lei Wang,generalizability theory; computer science; strengths and weaknesses; data science; management science; knowledge management; psychology; engineering; developmental psychology; social psychology,2023.0,136
common scholarly communication infrastructure landscape review,scholarly communication is the process through which research products and outputs such as articles audiovisual materials data code and research methods are created assessed improved shared disseminated and preserved in a variety of modes including through formal and informal publications conferences and other academic networking methods shared infrastructure is a key enabler for delivering the services that authors and readers need it is composed of standards platforms technologies policies and the communities that enable and support them,Oya Y. Rieger; Roger Schonfeld,scholarly communication; geography; business; political science; law; publishing,2023.0,7
privacy protection for open sharing of psychiatric and behavioral research data ethical considerations and recommendations,data sharing within psychiatric and behavioral research represents a novel application of ethical principles in practice however it suffers from a dearth of practical experience and established ethical norms in this study we comprehensively examined the ethical considerations surrounding the acquisition management sharing and utilization of such data we graded sensitive data and suggest ethical standards for privacy protection based on varying levels of data sensitivity the objective of this study is to foster orderly and standardized open sharing of psychiatric and behavioral research data thereby advancing the development and progress of related academic disciplines in china this chinese expert consensus has been registered on the international guide registration platform registration number prepare 2024cn412,Yundi Zhang; Siyuan Fan; Hui Hui; Ning Zhang; Jing Li; Liping Liao; Chaofu Ke; Dan Zhang; Shihong Su; Zhiqiang Song; Leo Yu Zhang; Qing Du; Long Liu; Lan Wang; Lijie Yang; Jia Li; Li Da Xu; Shiqi Xiao; Lei Shi; Xiang Xiao; Wenzhao Wang; Niuniu Sun; Qilian He; Ran Hao; Wu Ju; Zhiqiang Tian; Yanting Lou; Qiang Yao; Wai‐Kit Ming; Feng Jiang; Xiaoming Zhou; Mingxu Wang; Xinying Sun; Yibo Wu; on behalf of Behavioral Epidemiology Education Working Commission of CMEA,data sharing; ethical issues; data protection act 1998; information privacy; ethical standards; china; engineering ethics; psychology; internet privacy; medicine; political science; computer science; computer security; engineering; alternative medicine; law; pathology,2025.0,53
open access and liberal education a look at armenia azerbaijan and georgia,in the post soviet era libraries in armenia azerbaijan and georgia have faced increasing budgetary challenges in response to socioeconomic restructuring and the introduction of private enterprise libraries have been forced to seek alternatives to commercial publishing and licensing models this paper will assess the status of the open access movement and of internet filtering controls in the countries of the south caucasus it will also argue that developing open models for scholarly communications is crucial to the strengthening of liberal education and civic participation in these aspiring democracies libraries in their role as providers of and advocates for shared information have a vital role to play in this mission,D. Aram Donabedian; John Carey,political science; library science; media studies; sociology; computer science,2011.0,7
data curation as collective action during scp covid scp 19,abstract in this commentary the authors an international group data curation researchers and educators reflect on some of the challenges and opportunities for data curation in the wake of the covid 19 pandemic we focus on some topics of particular interest to the information science community data infrastructures for scholarly communication and research the politicization of data curation and visualization for public facing dashboards and human subjects research and policies we conclude with some areas of opportunity and need including broader and richer data curation education in the information schools the establishment of better data management policy implementations by research funders the award of formal academic credit for data curation activities and data sharing and engagement in cooperative action around data ethics and security,Kalpana Shankar; Wei Jeng; Andrea K. Thomer; Nicholas Weber; Ayoung Yoon,data curation; data sharing; data science; coronavirus disease 2019 (covid-19); action (physics); knowledge management; public relations; computer science; world wide web; political science; medicine; infectious disease (medical specialty); quantum mechanics; disease; alternative medicine; pathology; physics,2020.0,30
to share or not to share image data sharing in the social sciences and humanities,introduction the paper aims to investigate image data sharing within social science and humanities while data sharing is encouraged as a part of the open science movement little is known about the approaches and factors influencing the sharing of image data this information is evident as the use of image data in these fields of research is increasing and data sharing is context dependent method the study analyses qualitative semi structured interviews with 14 scholars who incorporate digital images as a core component of their research data analysis content analysis is conducted to gather information about scholars image data sharing and motivating and impeding factors related to it results the findings show that image data sharing is not an established research practice and when it happens it is mostly done via informal means by sharing data through personal contacts supporting the scientific community the open science agenda and fulfilling research funders requirements motivate scholars to share their data impeding factors relate to the qualities of data ownership of data data stewardship and research integrity conclusion advancing image data sharing requires the development of research infrastructures and providing support and guidelines better understanding of the scholars image data practices is also needed,Elina Late; Mette Skov; Sanna Kumpulainen,data sharing; context (archaeology); computer science; data science; image sharing; open_science; knowledge management; world wide web; image (mathematics); geography; physics; archaeology; astronomy; alternative medicine; artificial intelligence; medicine; pathology,2024.0,7
going dark running a tor relay and a dark web version of this site,dark times at the moment authoritarianism is on the rise everywhere and censorship regimes become ever more common none of the material on my blog is particularly sensitive some two decades out of date information security stuff posts about english literature some posts about health and posts about scholarly communication it amp 39 s not really the kind of stuff that will get me in trouble,Martin Paul Eve,relay; deep web; astrophysics; computer science; physics; world wide web; the internet; power (physics); quantum mechanics,2025.0,0
large language models empowered agent based modeling and simulation a survey and perspectives,abstract agent based modeling and simulation have evolved as a powerful tool for modeling complex systems offering insights into emergent behaviors and interactions among diverse agents recently integrating large language models into agent based modeling and simulation presents a promising avenue for enhancing simulation capabilities this paper surveys the landscape of utilizing large language models in agent based modeling and simulation discussing their challenges and promising future directions in this survey since this is an interdisciplinary field we first introduce the background of agent based modeling and simulation and large language model empowered agents we then discuss the motivation for applying large language models to agent based simulation and systematically analyze the challenges in environment perception human alignment action generation and evaluation most importantly we provide a comprehensive overview of the recent works of large language model empowered agent based modeling and simulation in multiple scenarios which can be divided into four domains cyber physical social and hybrid covering simulation of both real world and virtual environments and how these works address the above challenges finally since this area is new and quickly evolving we discuss the open problems and promising future directions we summarize the representative papers along with their code repositories in https github com tsinghua fib lab llm agent based modeling and simulation,Chen Gao; Xiaochong Lan; Nian Li; Yuan Yuan; Jingtao Ding; Zhilun Zhou; Fengli Xu; Yong Li,computer science; management science; data science; engineering,2024.0,179
cyberbiosecurity in the new normal cyberbio risks pre emptive security and the global governance of bioinformation,abstract the covid 19 pandemic saw a surge in cyber attacks targeting pharmaceutical companies and research organisations working on vaccines and treatments for the virus such attacks raised concerns around the in security of bioinformation e g genomic data epidemiological data biomedical data and health data and the potential cyberbio risks resulting from stealing compromising or exploiting it in hostile cyber operations this article critically investigates threat discourses around bioinformation as presented in the newly emerging field of cyberbiosecurity as introduced by scholarly literature in life sciences cyberbiosecurity aims to understand and address cyber risks engendered by the digitisation of biology such risks include for example embedding malware in dna corrupting gene sequencing manipulating biomedical materials stealing epidemiological data or even developing biological weapons and spreading diseases this article brings the discussion on cyberbiosecurity into the realms of international relations and security studies by problematising the futuristic threat discourses co producing this burgeoning field and the pre emptive security measures it advocates specifically in relation to bioinformation it analyses how cyberbiosecurity as a concept and field of policy analysis influences the existing securitised governance of bioinformation the global competition to control it and the inequalities associated with its ownership and dissemination as such the article presents a critical intervention in current debates around the intersection between biological dangers and cyber threats and in the calls for peculiar policy measures to defend against cyberbio risks in the new normal,Noran Shafik Fouad,corporate governance; business; computer security; political science; law and economics; computer science; sociology; finance,2024.0,4
cybersecurity in a large scale research facility one institution s approach,a cybersecurity approach for a large scale user facility is presented utilizing the national high magnetic field laboratory nhmfl at florida state university fsu as an example the nhmfl provides access to the highest magnetic fields for scientific research teams from a range of disciplines the unique challenges of cybersecurity at a widely accessible user facility are showcased and relevant cybersecurity frameworks for the complex needs of a user facility with industrial style equipment and hazards are discussed along with the approach for risk identification and management which determine cybersecurity requirements and priorities essential differences between information technology and research technology are identified along with unique requirements and constraints the need to plan for the introduction of new technology and manage legacy technologies with long usage lifecycles is identified in the context of implementing cybersecurity controls rooted in pragmatic decisions to avoid hindering research activities while enabling secure practices which includes fair findable accessible interoperable and reusable and open data management principles the nhmfl s approach to fair data management is presented critical success factors include obtaining resources to implement and maintain necessary security protocols interdisciplinary and diverse skill sets phased implementation and shared allocation of nhmfl and fsu responsibilities,David Butcher; Christian J. Brigham; James Berhalter; Abigail L. Centers; William M. Hunkapiller; T. P. Murphy; Eric Palm; Julia H. Smith,interoperability; computer science; context (archaeology); plan (archaeology); scale (ratio); computer security; engineering management; systems engineering; engineering; world wide web; biology; physics; quantum mechanics; history; paleontology; archaeology,2023.0,5
