topic_id,name,representative_titles,representative_abstracts,label,classification,keep/remove
42,42_llms_mental_language_models,large language models in healthcare and medical applications a review | large language models for mental health applications systematic review | evaluating the potential and pitfalls of ai powered conversational agents as humanlike virtual health carers in the remote management of noncommunicable diseases scoping review,this paper provides a systematic and in depth examination of large language models llms in the healthcare domain addressing their significant potential to transform medical practice through advanced natural language processing capabilities current implementations demonstrate llms promising applications across clinical decision support medical education diagnostics and patient care while highlighting critical challenges in privacy ethical deployment and factual accuracy that require resolution for responsible integration into healthcare systems this paper provides a comprehensive understanding of the background of healthcare llms the evolution and architectural foundation and the multimodal capabilities key methodological aspects such as domain specific data acquisition large scale pre training supervised fine tuning prompt engineering and in context learning are explored in the context of healthcare use cases the paper highlights the trends and categorizes prominent application areas in medicine additionally it critically examines the prevailing technical and social challenges of healthcare llms including issues of model bias interpretability ethics governance fairness equity data privacy and regulatory compliance the survey concludes with an outlook on emerging research directions and strategic recommendations for the development and deployment of healthcare llms | background large language models llms are advanced artificial neural networks trained on extensive datasets to accurately understand and generate natural language while they have received much attention and demonstrated potential in digital health their application in mental health particularly in clinical settings has generated considerable debate objective this systematic review aims to critically assess the use of llms in mental health specifically focusing on their applicability and efficacy in early screening digital interventions and clinical settings by systematically collating and assessing the evidence from current studies our work analyzes models methodologies data sources and outcomes thereby highlighting the potential of llms in mental health the challenges they present and the prospects for their clinical use methods adhering to the prisma preferred reporting items for systematic reviews and meta analyses guidelines this review searched 5 open access databases medline accessed by pubmed ieee xplore scopus jmir and acm digital library keywords used were mental health or mental illness or mental disorder or psychiatry and large language models this study included articles published between january 1 2017 and april 30 2024 and excluded articles published in languages other than english results in total 40 articles were evaluated including 15 38 articles on mental health conditions and suicidal ideation detection through text analysis 7 18 on the use of llms as mental health conversational agents and 18 45 on other applications and evaluations of llms in mental health llms show good effectiveness in detecting mental health issues and providing accessible destigmatized ehealth services however assessments also indicate that the current risks associated with clinical use might surpass their benefits these risks include inconsistencies in generated text the production of hallucinations and the absence of a comprehensive benchmarked ethical framework conclusions this systematic review examines the clinical applications of llms in mental health highlighting their potential and inherent risks the study identifies several issues the lack of multilingual datasets annotated by experts concerns regarding the accuracy and reliability of generated content challenges in interpretability due to the black box nature of llms and ongoing ethical dilemmas these ethical concerns include the absence of a clear benchmarked ethical framework data privacy issues and the potential for overreliance on llms by both physicians and patients which could compromise traditional medical practices as a result llms should not be considered substitutes for professional mental health services however the rapid development of llms underscores their potential as valuable clinical aids emphasizing the need for continued research and development in this area trial registration prospero crd42024508617 https www crd york ac uk prospero display record php recordid 508617,,,
43,43_quantum_computing_cryptography_post,quantum computing in semantic communications overcoming optimization challenges with high dimensional hilbert spaces | towards post quantum blockchain a review on blockchain cryptography resistant to quantum computing attacks | toward a quantum information system cybersecurity taxonomy and testbed exploiting a unique opportunity for early impact,semantic communications prioritize transmitting meaningful information over raw data in communication systems however these systems face significant optimization challenges particularly concerning resource efficiency and fidelity due to the costly and delicate nature of photonic resources quantum computing offers promising solutions to these challenges through its unique capabilities such as superposition and entanglement within high dimensional hilbert spaces this survey reviews the integration of quantum computing into semantic communications tracing developments from foundational concepts to current advancements it explores how quantum embeddings and machine learning techniques enhance semantic representation and transmission enabling the encoding and processing of only relevant information this approach addresses issues of polysemy and contextual variations in large datasets more effectively than classical methods key topics include the utilization of quantum probability and cognition in semantic analysis optimization of quantum protocols for faster information retrieval and the role of variational quantum circuits in improving computation latency communication bandwidth data privacy and transmission delays it also examines the implications for future communication systems like next generation networks it highlights the shift towards intelligent computing intensive architectures and the support for advanced applications such as extended reality and holographic communications potential pathways are identified to achieve more efficient secure and intelligent data transmission aiming to provide researchers and practitioners with a thorough understanding of this emerging field outlining open research challenges and future directions to inspire further exploration and innovation | blockchain and other distributed ledger technologies dlts have evolved significantly in the last years and their use has been suggested for numerous applications due to their ability to provide transparency redundancy and accountability in the case of blockchain such characteristics are provided through public key cryptography and hash functions however the fast progress of quantum computing has opened the possibility of performing attacks based on grover s and shor s algorithms in the near future such algorithms threaten both public key cryptography and hash functions forcing to redesign blockchains to make use of cryptosystems that withstand quantum attacks thus creating which are known as post quantum quantum proof quantum safe or quantum resistant cryptosystems for such a purpose this article first studies current state of the art on post quantum cryptosystems and how they can be applied to blockchains and dlts moreover the most relevant post quantum blockchain systems are studied as well as their main challenges furthermore extensive comparisons are provided on the characteristics and performance of the most promising post quantum public key encryption and digital signature schemes for blockchains thus this article seeks to provide a broad view and useful guidelines on post quantum blockchain security to future blockchain researchers and developers,,,
44,44_privacy_data_anonymization_synthetic,statistical data privacy a song of privacy and utility | aol4ps a large scale data set for personalized search | challenge design and lessons learned from the 2018 differential privacy challenges,to quantify trade offs between increasing demand for open data sharing and concerns about sensitive information disclosure statistical data privacy sdp methodology analyzes data release mechanisms that sanitize outputs based on confidential data two dominant frameworks exist statistical disclosure control sdc and the more recent differential privacy dp despite framing differences both sdc and dp share the same statistical problems at their core for inference problems either we may design optimal release mechanisms and associated estimators that satisfy bounds on disclosure risk measures or we may adjust existing sanitized output to create new statistically valid and optimal estimators regardless of design or adjustment in evaluating risk and utility valid statistical inferences from mechanism outputs require uncertainty quantification that accounts for the effect of the sanitization mechanism that introduces bias and or variance in this review we discuss the statistical foundations common to both sdc and dp highlight major developments in sdp and present exciting open research problems in private inference | personalized search is a promising way to improve the quality of websearch and it has attracted much attention from both academic and industrial communities much of the current related research is based on commercial search engine data which can not be released publicly for such reasons as privacy protection and information security this leads to a serious lack of accessible public data sets in this field the few publicly available data sets have not become widely used in academia because of the complexity of the processing process required to study personalized search methods the lack of data sets together with the difficulties of data processing has brought obstacles to fair comparison and evaluation of personalized search models in this paper we constructed a large scale data set aol4ps to evaluate personalized search methods collected and processed from aol query logs we present the complete and detailed data processing and construction process specifically to address the challenges of processing time and storage space demands brought by massive data volumes we optimized the process of data set construction and proposed an improved bm25 algorithm experiments are performed on aol4ps with some classic and state of the art personalized search methods and the experiment results demonstrate that aol4ps can measure the effect of personalized search models,,,
45,45_adversarial_deep_learning_gans,a survey on the application of generative adversarial networks in cybersecurity prospective direction and open research scopes | adversarial machine learning in cybersecurity vulnerabilities and defense strategies | a survey of deep learning methods for cyber security,with the proliferation of artificial intelligence there has been a massive increase in the amount of data required to be accumulated and disseminated digitally as the data are available online in digital landscapes with complex and sophisticated infrastructures it is crucial to implement various defense mechanisms based on cybersecurity generative adversarial networks gans which are deep learning models have emerged as powerful solutions for addressing the constantly changing security issues this survey studies the significance of the deep learning model precisely on gans in strengthening cybersecurity defenses our survey aims to explore the various works completed in gans such as intrusion detection systems ids mobile and network trespass botnet detection and malware detection the focus is to examine how gans can be influential tools to strengthen cybersecurity defenses in these domains further the paper discusses the challenges and constraints of using gans in these areas and suggests future research directions overall the paper highlights the potential of gans in enhancing cybersecurity measures and addresses the need for further exploration in this field | adversarial machine learning aml has emerged as a critical concern in cybersecurity exposing vulnerabilities in machine learning ml models that are increasingly deployed for threat detection intrusion prevention and malware classification by crafting adversarial examples carefully perturbed inputs designed to deceive ml algorithms attackers can evade detection systems or trigger false alarms undermining the integrity confidentiality and availability of cyber defense mechanisms this paper provides a comprehensive examination of aml in the cybersecurity domain focusing on the nature of adversarial threats their impact on different ml architectures and state of the art defense strategies we explore various attack vectors including evasion attacks at inference time poisoning attacks during training model inversion and membership inference which collectively threaten the reliability of security critical ai applications case studies highlight the susceptibility of deep neural networks support vector machines and ensemble methods to subtle but strategically engineered perturbations in domains such as malware detection spam filtering and network intrusion detection in response we review robust defense strategies encompassing adversarial training gradient masking input transformation defensive distillation and ensemble defenses as well as emerging research on certified robustness and provable guarantees furthermore we discuss the trade offs between security model performance and computational overhead which often complicate the deployment of robust ml models in large scale real time environments we also examine regulatory and ethical considerations including the need for transparent and explainable ai to foster trust in adversarially robust systems the paper concludes by identifying open research challenges and proposing future directions such as hybrid human ai defense frameworks integration of aml defenses into the broader cybersecurity ecosystem and standardized evaluation benchmarks for adversarial resilience our findings underscore the urgent need for a multidisciplinary approach that combines technical innovation policy development and continuous monitoring to safeguard machine learning applications in cybersecurity against evolving adversarial threats,,,
46,46_fl_federated_learning_data,the future of digital health with federated learning | survey of medical applications of federated learning | fair and privacy preserving alzheimer s disease diagnosis based on spontaneous speech analysis via federated learning,data driven machine learning ml has emerged as a promising approach for building accurate and robust statistical models from medical data which is collected in huge volumes by modern healthcare systems existing medical data is not fully exploited by ml primarily because it sits in data silos and privacy concerns restrict access to this data however without access to sufficient data ml will be prevented from reaching its full potential and ultimately from making the transition from research to clinical practice this paper considers key factors contributing to this issue explores how federated learning fl may provide a solution for the future of digital health and highlights the challenges and considerations that need to be addressed | objectives medical artificial intelligence ai has recently attracted considerable attention however training medical ai models is challenging due to privacy protection regulations among the proposed solutions federated learning fl stands out fl involves transmitting only model parameters without sharing the original data making it particularly suitable for the medical field where data privacy is paramount this study reviews the application of fl in the medical domain methods we conducted a literature search using the keywords federated learning in combination with medical healthcare or clinical on google scholar and pubmed after reviewing titles and abstracts 58 papers were selected for analysis these fl studies were categorized based on the types of data used the target disease the use of open datasets the local model of fl and the neural network model we also examined issues related to heterogeneity and security results in the investigated fl studies the most commonly used data type was image data and the most studied target diseases were cancer and covid 19 the majority of studies utilized open datasets furthermore 72 of the fl articles addressed heterogeneity issues while 50 discussed security concerns conclusions fl in the medical domain appears to be in its early stages with most research using open data and focusing on specific data types and diseases for performance verification purposes nonetheless medical fl research is anticipated to be increasingly applied and to become a vital component of multi institutional research,,,
47,47_xai_explainable_explanations_cybersecurity,explainable ai for cyber physical systems issues and challenges | explainable artificial intelligence xai for malware analysis a survey of techniques applications and open challenges | explainable artificial intelligence applications in cyber security state of the art in research,artificial intelligence and cyber physical systems cps are two of the key technologies of the future that are enabling major global shifts however most of the current implementations of ai in cps are not explainable which creates serious problems in ethical legal regulatory and other domains therefore it is necessary for explainable artificial intelligence xai to be integrated with cyber physical systems to meet the vital needs for control fairness accountability safety cyber resilience and cybersecurity the goal of this review is to demonstrate the need benefits challenges and implementation of xai for cps we review the existing literature about xai and cps discuss the current state of the art examine applications in different domains and make recommendations for future research directions to the best of our knowledge this is the first peer reviewed academic article to provide a comprehensive review of general xai for cps we also contribute new research ideas including development of multisensory explanations and outputs for these systems application of xai to cps to decrease occupational burnout and increase employee engagement and enumeration of the multidisciplinary goals and benefits of xai as applied to cyber physical systems | machine learning ml has rapidly advanced in recent years revolutionizing fields such as finance medicine and cybersecurity in malware detection ml based approaches have demonstrated high accuracy however their lack of transparency poses a significant challenge traditional ml models often fail to provide interpretable justifications for their predictions limiting their adoption in security critical environments where understanding the reasoning behind a detection is essential for threat mitigation and response explainable ai xai addresses this gap by enhancing model interpretability while maintaining strong detection capabilities this survey presents a comprehensive review of state of the art ml techniques for malware analysis with a specific focus on explainability methods and research mainly from 2018 to 2024 we examine existing xai frameworks their application in malware classification and detection and the challenges associated with making malware detection models more interpretable additionally we explore recent advancements and highlight open research challenges in the field of explainable malware analysis by providing a structured overview of xai driven malware detection approaches this survey serves as a valuable resource for researchers and practitioners seeking to bridge the gap between ml performance and explainability in cybersecurity,,,
48,48_legal_ai_justice_judicial,integrating scp ai scp into arbitration balancing efficiency with fairness and legal compliance | the impact of artificial intelligence on legal systems challenges and opportunities | exploring the role of ai in modern legal practice opportunities challenges and ethical implications,abstract the integration of artificial intelligence ai into arbitration marks a significant transformation in alternative dispute resolution aiming to enhance efficiency objectivity and accessibility advanced ai systems now extend beyond administrative tasks to analyze complex legal data predict case outcomes and even generate arbitral awards this evolution addresses the growing volume and complexity of international disputes particularly in commercial and investment arbitration however the adoption of ai introduces profound legal and ethical challenges key concerns include the absence of human judgment potential biases embedded in ai algorithms and the opacity of their decision making processes accountability issues and data privacy risks critically current legal frameworks such as the new york convention were not designed to accommodate ai generated awards raising questions about their legitimacy procedural fairness and enforceability this article explores these intersections focusing on how ai impacts arbitration s efficiency and objectivity the legal and ethical challenges arising from ai integration and the extent to which existing legal frameworks accommodate ai generated awards employing a multidisciplinary approach that includes legal scholarship case studies and technological research the analysis examines the practical implications of ai in arbitration and the specific enforcement challenges of ai generated awards the article concludes with recommendations for regulatory reforms and the adoption of hybrid ai human models to balance technological benefits with the necessity for human oversight and ethical accountability | the integration of artificial intelligence into legal systems has engendered a paradigm shift in the legal landscape presenting a complex interplay of challenges and opportunities for the legal profession and the justice system this comprehensive research delves into the multifaceted impact of artificial intelligence on legal systems focusing on its transformative potential and implications through an extensive analysis of the integration of artificial intelligence technologies including natural language processing machine learning and predictive analytics the study illuminates the profound improvements in legal research decision making processes and case management emphasizing the unprecedented efficiency and accessibility that artificial intelligence offers within the legal domain furthermore the research critically examines the ethical and societal challenges stemming from artificial intelligence integration including concerns related to data privacy algorithmic bias and the accountability of artificial intelligence driven legal solutions by scrutinizing the existing regulatory frameworks governing artificial intelligence implementation the study underscores the necessity of responsible and ethical artificial intelligence integration advocating for transparency fairness and equitable practices in the legal profession the findings contribute to the ongoing discourse on the ethical implications and effective management of artificial intelligence integration in legal systems providing valuable insights and recommendations for stakeholders and policymakers to navigate the complexities and ensure the responsible adoption of artificial intelligence technologies within the legal sphere,,,
49,49_ethics_ethical_csr_leadership,ethical dilemmas and privacy issues in emerging technologies a review | algorithmic tenancies and the ordinal tenant digital risk profiling in england s private rented sector | ethical and legal challenges in information system development and implementation,industry 5 0 is projected to be an exemplary improvement in digital transformation allowing for mass customization and production efficiencies using emerging technologies such as universal machines autonomous and self driving robots self healing networks cloud data analytics etc to supersede the limitations of industry 4 0 to successfully pave the way for acceptance of these technologies we must be bound and adhere to ethical and regulatory standards presently with ethical standards still under development and each region following a different set of standards and policies the complexity of being compliant increases having vague and inconsistent ethical guidelines leaves potential gray areas leading to privacy ethical and data breaches that must be resolved this paper examines the ethical dimensions and dilemmas associated with emerging technologies and provides potential methods to mitigate their legal regulatory issues | this paper examines digital tenant risk profiling tools in england apos s private rented sector prs and their influence on housing access and fairness based on qualitative data from 50 interviews and a survey of prs landlords drawn from a larger project the study analyses adoption patterns algorithmic biases and the implications for tenant rights issues such as data privacy discrimination and exclusionary practices affecting marginalised groups are highlighted the research underscores how digital platforms reshape landlord tenant relationships and broader housing market dynamics in the light of recent broader theorisations of what sociologists marian fourcade and kieran healy have conceptualised as an emerging ordinal society in this article we argue that the logic of such metrics and data informed algorithmic systems has led to the emergence of an ordinal tenant,,,
50,50_ransomware_ransom_victims_attacks,the rise of ransomware and emerging security challenges in the internet of things | a mechanism design approach to solve ransomware dilemmas | hybrid framework for ransomware protection using effective decoy deployment and file traversal entropy check,abstract ransomware is a type of malware that encrypts files and demands a ransom from victims it can be viewed as a form of kidnapping in which the criminal takes control of the victim s files with the objective of financial gain in this article we review and develop the game theoretic literature on kidnapping in order to gain insight on ransomware the prior literature on kidnapping has largely focused on political or terrorist hostage taking we demonstrate however that key models within the literature can be adapted to give critical new insight on ransomware we primarily focus on two models the first gives insight on the optimal ransom that criminals should charge the second gives insight on the role of deterrence through preventative measures a key insight from both models will be the importance of spillover effects across victims we will argue that such spillovers point to the need for some level of outside intervention by governments or otherwise to tackle ransomware | drawing upon direct interviews and secondary sources this article presents a qualitative comparative analysis of 39 ransomware attacks 26 of which occurred shortly before the outbreak of the covid 19 pandemic and 13 of which took place during the pandemic the research objective was to gain an understanding of how ransomware attacks changed tactics across this period using inductive content analysis a number of key themes emerged namely 1 ransomware attackers have adopted more sinister tactics and now commit multiple crimes to maximise their return 2 the expanded attack surface caused by employees working from home has greatly aggravated the risk of malicious intrusion 3 the preferred attack vectors have changed with phishing and vpn exploits now to the fore 4 failure to adapt common business processes from off line to on line interaction has created vulnerabilities 5 the ongoing laissez faire attitude toward cybersecurity and lack of preparedness continues to be a substantial problem and 6 ransomware attacks now pose potentially severe consequences for individuals whose personal data has become a central part of the game recommendations are proposed to address these issues,,,
51,51_6g_isac_sensing_communication,toward multi functional 6g wireless networks integrating sensing communication and security | on the road to 6g visions requirements key technologies and testbeds | the roadmap to 6g security and privacy,integrated sensing and communication isac has recently emerged as a candidate 6g technology aiming to unify the two key operations of the future network in a spectrum energy cost efficient way isac systems communicate and sense for targets using a common waveform a common hardware platform and ultimately the same network infrastructure nevertheless the inclusion of information signaling in the probing waveform for target sensing raises challenges from the perspective of information security at the same time the sensing capability incorporated in isac transmission offers unique opportunities to design secure isac techniques this overview article discusses these unique challenges and opportunities for the next generation of isac networks we first briefly discuss the fundamentals of waveform design for sensing and communication then we detail the challenges and contradictory objectives involved in securing isac transmission along with state of the art approaches to ensure security we then identify the new opportunity of using the sensing capability to obtain knowledge target information as an enabling approach against the known weak nesses of phy security finally we illustrate some low cost secure isac architectures followed by a series of open research topics this family of sensing aided secure isac techniques brings new insight on providing information security with an eye on robust and hardware constrained designs tailored for low cost isac devices | fifth generation 5g mobile communication systems have entered the stage of commercial deployment providing users with new services improved user experiences as well as a host of novel opportunities to various industries however 5g still faces many challenges to address these challenges international industrial academic and standards organizations have commenced research on sixth generation 6g wireless communication systems a series of white papers and survey papers have been published which aim to define 6g in terms of requirements application scenarios key technologies etc although itu r has been working on the 6g vision and it is expected to reach a consensus on what 6g will be by mid 2023 the related global discussions are still wide open and the existing literature has identified numerous open issues this paper first provides a comprehensive portrayal of the 6g vision technical requirements and application scenarios covering the current common understanding of 6g then a critical appraisal of the 6g network architecture and key technologies is presented furthermore existing testbeds and advanced 6g verification platforms are detailed for the first time in addition future research directions and open challenges are identified to stimulate the on going global debate finally lessons learned to date concerning 6g networks are discussed,,,
52,52_biometric_authentication_recognition_facial,face re identification challenge are face recognition models good enough | multimodal biometric authentication a review | recurrent neural networks rnns to improve eeg based person identification,critical applications ranging from sensitive military data to restricted area access demand selective user authentication the prevalent methods of tokens passwords and other commonly used techniques proved deficient as they can be easily stolen lost or broken to gain illegitimate access leading to data spillage since data safety against tricksters is a significant issue nowadays biometrics is one of the unique human characteristic based techniques that may give better solutions in this regard the technique entails biometric authentication of users based on an individual s inimitable physiological or behavioral characteristics to provide access to a specific application or data this paper provides a detailed description of authentication and its approaches focusing on biometric based authentication methods the primary challenges they encounter and how they have been addressed the tabular view shows the benefits and downsides of various multimodal biometric systems and open research challenges to put it another way this article lays out a roadmap for the emergence of multimodal biometric based authentication covering both the challenges and the solutions that have been proposed further the urge to develop various multi trait based methods for secure authentication and data privacy is focused lastly some multimodal biometric systems comprising fingerprint and iris modalities have been compared based on false accept rate far false reject rate frr and accuracy to find the best secure model with easy accessibility | this study explored the potential of using eeg signals for biometric identification and the performance of advanced deep learning models such as lstm and gru in extracting features from raw eeg signals was evaluated it was demonstrated that these models could accurately identify individuals based on their unique brain activity patterns the study s findings have significant implications for secure and reliable biometric identification systems in healthcare and security however challenges remain in addressing data privacy and security cross domain generalization and fairness and bias further research is needed to address these challenges and fully realize the potential impact of deep learning on biometric identification,,,
53,53_security_cyber_network_attacks,a survey on systems security metrics | building security perimeters to protect network systems against cyber threats future directions | measures to mitigate cybersecurity risks and vulnerabilities in service oriented architecture,security metrics have received significant attention however they have not been systematically explored based on the understanding of attack defense interactions which are affected by various factors including the degree of system vulnerabilities the power of system defense mechanisms attack or threat severity and situations a system at risk faces this survey particularly focuses on how a system security state can evolve as an outcome of cyber attack defense interactions this survey concerns how to measure system level security by proposing a security metrics framework based on the following four sub metrics 1 metrics of system vulnerabilities 2 metrics of defense power 3 metrics of attack or threat severity and 4 metrics of situations to investigate the relationships among these four sub metrics we propose a hierarchical ontology with four sub ontologies corresponding to the four sub metrics and discuss how they are related to each other using the four sub metrics we discuss the state of art existing security metrics and their advantages and disadvantages or limitations to obtain lessons and insight in order to achieve an ideal goal in developing security metrics finally we discuss open research questions in the security metrics research domain and we suggest key factors to enhance security metrics from a system security perspective | due to the wide variety of devices used in computer network systems cybersecurity plays a major role in securing and improving the performance of the network or system although cybersecurity has received a large amount of global interest in recent years it remains an open research space current security solutions in network based cyberspace provide an open door to attackers by communicating first before authentication thereby leaving a black hole for an attacker to enter the system before authentication this article provides an overview of cyberthreats traditional security solutions and the advanced security model to overcome current security drawbacks,,,
54,54_cyber_insurance_risk_incident,risk management using cyber threat information sharing and cyber insurance | between a rock and a hard ening place cyber insurance in the ransomware era | cyber insurance state of the art trends and future directions,cyber insurance and ransomware are two of the most studied areas within security research and practice to date and their interplay continues to raise concerns in industry and government this article offers substantial new insights and analysis into the complex question of whether cyber insurance can help organisations in mitigating the threat of ransomware particularly its impacts having conducted an interview or workshop with 96 industry professionals spanning the cyber insurance cyber security ransomware negotiations policy and law enforcement sectors we identify that ransomware has been a key cause of the hardening of the cyber insurance market which is exhibited at almost all levels of the market such hardening has been beneficial in raising the security standards required prior to purchase but has also created a situation where some organisations may not be able to acquire viable cyber insurance at all in presenting the outcomes of our thematic analysis of the interview and workshop outputs the paper provides significant new empirical evidence to support the theory that cyber insurance can act as a form of governance for improving cyber security amongst organisations nonetheless the hardening market does nothing to increase the penetration of cyber insurance questions were also raised as to the likelihood of unintended unethical and potentially illegal outcomes given the professionalisation of a remediation process that has to determine the most cost effective solution to an organisation being held ransom we conclude that insurance at best can help to mitigate the ransomware threat for those that can access it as part of a wider basket of actions that must also come from different stakeholders | society has become increasingly dependent on it infrastructure and services additionally the pandemic of covid 19 forced the transition of the traditional way of working i e physical presence into a more modern and flexible one i e working remotely this has led to an increase of cyberattacks as a direct consequence of the increase of the attack surface but subsequently also led to an increased necessity for the protection of information systems toward the protection of information systems cyber insurance is considered as a strategy for risk management where necessary cyber insurance is emerging as an important tool to protect organizations against cyberattack related losses in this work we extensively examine the relevant literature on cybersecurity insurance research and practice in order to draft the current landscape and present the trends,,,
55,55_risk_assessment_information_security,evaluating software security maturity using owasp samm different approaches and stakeholders perceptions | development of the automated information system for organization s information security culture level assessment | assessment of information security risks for construction enterprises,recent years have seen a surge in cyber attacks which can be prevented or mitigated using software security activities owasp samm is a maturity model providing a versatile way for companies to assess their security posture and plan for improvements we perform an initial samm assessment in collaboration with a company in the financial domain our objective is to assess a holistic inventory of the company security related activities focusing on how different roles perform the assessment and how they perceive the instrument used in the process we perform a case study to collect data using samm in a lightweight and novel manner through assessment using an online survey with 17 participants and a focus group with seven participants we show that different roles perceive maturity differently and that the two assessments deviate only for specific practices making the lightweight approach a viable and efficient solution in industrial practice our results indicate that the questions included in the samm assessment tool are answered easily and confidently across most roles our results suggest that companies can productively use a lightweight samm assessment we provide nine lessons learned for guiding industrial practitioners in the evaluation of their current security posture as well as for academics wanting to utilize samm as a research tool in industrial settings editor s note open science material was validated by the journal of systems and software open science board | relevance of the research ensuring the effectiveness of the information security systems requires creation of an appropriate information security culture for the employees of the organization in order to reduce human related risks target setting the techniques currently available for assessing information security risk are excluded as a source of the potential vulnerability considering the role of the personnel in the organization s information security systems there is a need to create automated systems of human machine interaction assessment through the level of the personnel information security culture and to determine the integral indicator of the organization s information security culture actual scientific researches and issues analysis open access publications on the problems of integrating the information security culture into the corporate culture of the organization as a tool for ensuring the proper information security level of business processes are considered uninvestigated parts of general matters defining the absence of formalized models for assessing the organization s information security culture level as well as an automated process for its assessing were revealed by source analysis the research objective the purpose of the article to build a model that describes the process of obtaining an organization s information security culture level assessment in idef0 notation then to create an architecture and database for system of information security culture assessment to support the general organization s information security system the statement of basic materials according to functional requirements a conceptual model of the organization s isc level determination development process was created input information governing elements execution elements and mechanism and output information were defined to accomplish these tasks an architecture and database of information system for assessing the information security culture level of the organization were proposed conclusions the functional model of top level development process was proposed formed functional requirements became the basis for development of information system architecture with description of its modules and database structure,,,
56,56_maritime_physical_cyber_critical,holistic approach of integrated navigation equipment for cybersecurity at sea | human centred autonomous shipping | 11 cyber physical threat intelligence for critical infrastructures security,tracing the development of autonomous and automated shipping from a hype of unmanned ships to a more realistic use of automation to augment humans in maritime operations this book shows why human factors and human centred design are essential to the endeavour themes addressed in the book include technology and cybersecurity regulation and classification and competence and skills it combines commentary and insight from experts across the industry as well as academia and describes a roller coaster ride from conceptual idea via a period of hype where technologists and engineers enthusiastically advocated a rapid development as many others in the maritime industry felt compelled but struggled to follow and finally to a more measured view as cumulative experience started to show the limitations risks and the lack of a generic business case this book is intended for anyone working in researching in or simply interested in shipping and the maritime domain and the evolution of autonomous shipping the target audience includes regulators educators researchers engineers and manufacturers the open access version of this book available at http www taylorfrancis com has been made available under a creative commons attribution non commercial no derivatives cc by nc nd 4 0 license | modern critical infrastructures can be considered as large scale cyber physical systems cps therefore when designing implementing and operating systems for critical infrastructure protection cip the boundaries between physical security and cybersecurity are blurred emerging systems for critical infrastructures security and protection must therefore consider integrated approaches that emphasize the interplay between cybersecurity and physical security techniques hence there is a need for a new type of integrated security intelligence i e cyber physical threat intelligence cpti this book presents novel solutions for integrated cyber physical threat intelligence for infrastructures in various sectors such as industrial sites and plants air transport gas healthcare and finance the solutions rely on novel methods and technologies such as integrated modelling for cyber physical systems novel reliance indicators and data driven approaches including bigdata analytics and artificial intelligence ai some of the presented approaches are sector agnostic i e applicable to different sectors with a fair customization effort nevertheless the book presents also peculiar challenges of specific sectors and how they can be addressed the presented solutions consider the european policy context for security cyber security and critical infrastructure protection as laid out by the european commission ec to support its member states to protect and ensure the resilience of their critical infrastructures most of the co authors and contributors are from european research and technology organizations as well as from european critical infrastructure operators hence the presented solutions respect the european approach to cip as reflected in the pillars of the european policy framework the latter includes for example the directive on security of network and information systems nis directive the directive on protecting european critical infrastructures the general data protection regulation gdpr and the cybersecurity act regulation the sector specific solutions that are described in the book have been developed and validated in the scope of several european commission ec co funded projects on critical infrastructure protection cip which focus on the listed sectors overall the book illustrates a rich set of systems technologies and applications that critical infrastructure operators could consult to shape their future strategies it also provides a catalogue of cpti case studies in different sectors which could be useful for security consultants and practitioners as well,,,
